index;Heure;Jour;Mois;Année;Pression_au_niveau_mer;Variation_de_pression_en_3_heures;Type_de_tendance_barométrique;Direction_du_vent_moyen_10_mn;Vitesse_du vent_moyen_10_mn;Température;Point_de_rosée;Humidité;Visibilité_horizontale;Temps_présent;Pression_station;Rafales_sur_une_période;Periode_de_mesure_de_la_rafale;Précipitations_dans_la_dernière_heure;Précipitations_dans_les_3_dernières_heures;Température(°C);consommation;datehour;datemonth
55623;1;12;1;2013;101970.0;150.0;1.0;20.0;3.6;280.15;270.65;51.0;60000.0;0.0;101870.0;10.8;-10.0;0.0;0.0;7.0;36896.0;1;1
30986;4;12;1;2013;102060.0;90.0;3.0;10.0;4.6;278.25;269.95;55.0;40000.0;2.0;101960.0;6.7;-10.0;0.0;0.0;5.100000000000023;33101.0;4;1
55639;7;12;1;2013;102100.0;40.0;3.0;350.0;2.6;276.35;269.55;61.0;40000.0;2.0;102000.0;6.7;-10.0;0.0;0.0;3.200000000000045;31236.0;7;1
27910;10;12;1;2013;102130.0;30.0;3.0;360.0;4.6;279.05;269.95;52.0;60000.0;2.0;102030.0;8.2;-10.0;0.0;0.0;5.900000000000034;33453.0;10;1
63493;13;12;1;2013;101970.0;-160.0;8.0;350.0;5.1;283.35;269.65;38.0;60000.0;2.0;101870.0;8.7;-10.0;0.0;0.0;10.200000000000044;35318.0;13;1
82502;16;12;1;2013;101850.0;-120.0;6.0;20.0;4.6;284.15;269.65;36.0;60000.0;2.0;101750.0;6.2;-10.0;0.0;0.0;11.0;32497.0;16;1
31007;19;12;1;2013;101910.0;60.0;2.0;320.0;2.6;279.35;267.95;44.0;60000.0;2.0;101810.0;7.7;-10.0;0.0;0.0;6.2000000000000455;35186.0;19;1
63511;22;12;1;2013;101950.0;40.0;1.0;310.0;3.1;277.35;269.35;56.0;60000.0;2.0;101850.0;5.1;-10.0;0.0;0.0;4.2000000000000455;37497.0;22;1
4775;1;13;1;2013;101270.0;-90.0;6.0;360.0;3.1;277.75;276.55;92.0;8000.0;2.0;101170.0;4.6;-10.0;0.0;0.0;4.600000000000023;33789.0;1;1
114864;4;13;1;2013;101100.0;-170.0;8.0;10.0;4.6;277.65;275.35;85.0;10000.0;3.0;101000.0;6.2;-10.0;0.0;0.0;4.5;29806.0;4;1
114879;10;13;1;2013;100950.0;30.0;3.0;10.0;4.6;278.55;273.35;69.0;20000.0;2.0;100850.0;7.2;-10.0;0.0;0.0;5.400000000000034;29601.0;10;1
114883;13;13;1;2013;100870.0;-80.0;8.0;350.0;3.1;281.25;274.65;63.0;30000.0;2.0;100770.0;5.1;-10.0;0.0;0.0;8.100000000000023;34295.0;13;1
25445;16;13;1;2013;100790.0;-80.0;6.0;0.0;0.0;283.05;275.65;60.0;30000.0;2.0;100690.0;2.6;-10.0;0.0;0.0;9.900000000000034;31816.0;16;1
4797;19;13;1;2013;100910.0;120.0;1.0;310.0;2.6;280.55;275.25;69.0;30000.0;2.0;100810.0;4.1;-10.0;0.0;0.0;7.400000000000034;32610.0;19;1
25454;22;13;1;2013;101030.0;120.0;3.0;350.0;1.5;276.75;273.25;78.0;10000.0;2.0;100930.0;3.6;-10.0;0.0;0.0;3.6000000000000227;34593.0;22;1
25459;1;14;1;2013;101150.0;120.0;1.0;280.0;4.6;278.85;272.55;64.0;60000.0;0.0;101050.0;6.7;-10.0;0.0;0.0;5.7000000000000455;34302.0;1;1
25465;4;14;1;2013;101210.0;60.0;3.0;270.0;6.2;279.45;272.65;62.0;40000.0;2.0;101110.0;11.8;-10.0;0.0;0.0;6.300000000000011;30964.0;4;1
4816;7;14;1;2013;101160.0;-50.0;5.0;280.0;5.1;279.35;272.35;61.0;40000.0;2.0;101060.0;7.7;-10.0;0.0;0.0;6.2000000000000455;31241.0;7;1
9165;10;14;1;2013;101310.0;150.0;3.0;290.0;5.1;280.65;271.15;51.0;40000.0;2.0;101210.0;8.7;-10.0;0.0;0.0;7.5;37968.0;10;1
9172;13;14;1;2013;101230.0;-80.0;8.0;320.0;6.2;282.15;267.45;35.0;50000.0;2.0;101130.0;10.8;-10.0;0.0;0.0;9.0;38971.0;13;1
9176;16;14;1;2013;101260.0;30.0;3.0;280.0;10.8;278.95;269.85;52.0;60000.0;2.0;101160.0;18.0;-10.0;0.0;0.0;5.800000000000011;38540.0;16;1
25491;19;14;1;2013;101440.0;180.0;3.0;290.0;8.7;277.25;268.05;51.0;40000.0;2.0;101340.0;13.9;-10.0;0.0;0.0;4.100000000000023;40034.0;19;1
9182;22;14;1;2013;101480.0;40.0;1.0;270.0;5.7;275.85;267.45;54.0;35000.0;2.0;101380.0;8.2;-10.0;0.0;0.0;2.700000000000045;39834.0;22;1
25503;1;15;1;2013;101340.0;-140.0;8.0;280.0;3.6;275.55;267.45;55.0;35000.0;0.0;101240.0;6.7;-10.0;0.0;0.0;2.400000000000034;37754.0;1;1
4848;4;15;1;2013;101200.0;-140.0;8.0;180.0;0.5;275.75;268.75;60.0;30000.0;2.0;101100.0;5.1;-10.0;0.0;0.0;2.6000000000000227;33895.0;4;1
9194;7;15;1;2013;100910.0;-290.0;6.0;270.0;1.5;275.95;270.05;65.0;30000.0;21.0;100810.0;2.6;-10.0;0.0;0.0;2.800000000000012;33868.0;7;1
9200;10;15;1;2013;100900.0;-10.0;5.0;20.0;3.1;274.55;271.95;83.0;20000.0;60.0;100800.0;4.1;-10.0;0.2;0.2;1.400000000000034;40255.0;10;1
25527;13;15;1;2013;100790.0;-110.0;8.0;300.0;1.5;277.65;274.15;78.0;12000.0;1.0;100690.0;4.6;-10.0;0.0;1.0;4.5;40246.0;13;1
10468;16;15;1;2013;100780.0;-10.0;5.0;310.0;9.3;281.75;269.55;42.0;25000.0;2.0;100680.0;13.4;-10.0;0.0;0.0;8.600000000000023;37785.0;16;1
114992;19;15;1;2013;101020.0;240.0;2.0;300.0;7.7;279.05;268.25;46.0;30000.0;2.0;100920.0;13.4;-10.0;0.0;0.0;5.900000000000034;39204.0;19;1
4879;22;15;1;2013;101080.0;60.0;0.0;300.0;7.2;278.55;268.15;47.0;30000.0;2.0;100980.0;12.3;-10.0;0.0;0.0;5.400000000000034;39565.0;22;1
9227;1;16;1;2013;101070.0;-10.0;5.0;310.0;5.7;277.35;268.35;52.0;30000.0;2.0;100970.0;9.3;-10.0;0.0;0.0;4.2000000000000455;37621.0;1;1
4885;4;16;1;2013;101050.0;-20.0;8.0;240.0;2.1;273.55;268.15;67.0;30000.0;3.0;100950.0;3.6;-10.0;0.0;0.0;0.4000000000000341;33456.0;4;1
4890;7;16;1;2013;100850.0;-200.0;6.0;0.0;0.0;274.85;269.95;70.0;25000.0;2.0;100750.0;1.5;-10.0;0.0;0.0;1.7000000000000457;33633.0;7;1
10488;10;16;1;2013;100770.0;-80.0;6.0;350.0;1.5;277.55;269.95;58.0;15000.0;2.0;100670.0;3.6;-10.0;0.0;0.0;4.400000000000034;39287.0;10;1
10493;13;16;1;2013;100500.0;-270.0;8.0;320.0;2.1;277.75;267.95;49.0;15000.0;2.0;100400.0;4.1;-10.0;0.0;0.0;4.600000000000023;41164.0;13;1
115025;16;16;1;2013;100410.0;-90.0;5.0;270.0;3.1;274.65;273.45;92.0;6000.0;23.0;100310.0;3.6;-10.0;0.2;0.4;1.5;40518.0;16;1
115028;19;16;1;2013;100370.0;-40.0;5.0;310.0;3.1;275.75;273.15;83.0;15000.0;1.0;100270.0;4.1;-10.0;0.0;0.0;2.6000000000000227;41271.0;19;1
115037;22;16;1;2013;100520.0;150.0;1.0;340.0;3.6;274.75;267.35;58.0;20000.0;2.0;100420.0;7.2;-10.0;0.0;0.0;1.6000000000000227;40179.0;22;1
115043;1;17;1;2013;100660.0;140.0;3.0;360.0;2.1;272.55;265.95;57.0;35000.0;0.0;100560.0;4.1;-10.0;0.0;0.0;-0.5999999999999659;38663.0;1;1
9271;4;17;1;2013;100760.0;100.0;3.0;280.0;3.1;271.25;267.75;74.0;20000.0;2.0;100660.0;5.1;-10.0;0.0;0.0;-1.8999999999999773;36458.0;4;1
115054;7;17;1;2013;100910.0;150.0;3.0;290.0;5.1;271.75;264.95;56.0;25000.0;2.0;100810.0;7.7;-10.0;0.0;0.0;-1.3999999999999773;36721.0;7;1
10526;10;17;1;2013;101060.0;150.0;3.0;290.0;6.2;274.45;263.75;45.0;40000.0;2.0;100960.0;8.7;-10.0;0.0;0.0;1.3000000000000114;42463.0;10;1
10534;13;17;1;2013;100980.0;-80.0;8.0;320.0;4.1;279.45;262.25;28.0;40000.0;2.0;100880.0;7.2;-10.0;0.0;0.0;6.300000000000011;42073.0;13;1
25624;16;17;1;2013;100940.0;-40.0;5.0;330.0;6.7;280.15;261.45;25.0;40000.0;2.0;100840.0;10.8;-10.0;0.0;0.0;7.0;39318.0;16;1
25627;19;17;1;2013;101090.0;150.0;3.0;310.0;2.1;274.95;263.65;43.0;40000.0;2.0;100990.0;6.2;-10.0;0.0;0.0;1.8000000000000114;41329.0;19;1
10553;22;17;1;2013;101150.0;60.0;1.0;40.0;3.6;270.85;262.05;47.0;20000.0;2.0;101050.0;6.2;-10.0;0.0;0.0;-2.2999999999999545;42813.0;22;1
9305;1;18;1;2013;101020.0;-130.0;8.0;290.0;1.5;269.25;263.25;59.0;10000.0;0.0;100920.0;2.6;-10.0;0.0;0.0;-3.899999999999977;41550.0;1;1
9313;4;18;1;2013;100870.0;-150.0;6.0;360.0;3.1;267.95;262.55;62.0;15000.0;2.0;100770.0;5.1;-10.0;0.0;0.0;-5.199999999999989;38939.0;4;1
9318;7;18;1;2013;100700.0;-170.0;6.0;360.0;4.1;271.45;264.25;54.0;15000.0;2.0;100600.0;7.2;-10.0;0.0;0.0;-1.6999999999999886;38985.0;7;1
4965;10;18;1;2013;100690.0;-10.0;8.0;360.0;2.6;273.65;264.45;50.0;15000.0;2.0;100590.0;5.7;-10.0;0.0;0.0;0.5;45116.0;10;1
